STATE,NO2_2000,NO2_2010,pm10_2000,pm10_2010,pm25_2000,pm25_2010
Alabama,16.2,10.3,23.4,17,15.6,10.3
Arizona,27.8,17,31.5,22.6,8.8,5.7
Arkansas,13.2,9.3,20.5,17.3,12.4,10.2
California,35.9,21.1,28.6,20.2,14.5,8.6
Colorado,26.5,18.1,19.4,18.6,6.8,5.6
Connecticut,26.3,15.6,15.6,13.4,11.4,7.9
Delaware,20.4,13.2,18.2,17.9,13.8,9.7
District Of Columbia,38.2,26.3,21.8,18.1,15.7,11
Florida,19.7,10.7,20.5,15.9,11,7.8
Georgia,16.6,10.8,21.6,15.9,15.7,10.8
Idaho,15.3,9.8,22.8,14.9,7.5,5.3
Illinois,25.6,19,24.2,22.1,14.4,11.3
Indiana,24.8,15.4,22,22,14.9,12
Iowa,11.9,9.1,23.7,23,9.9,9.4
Kansas,13.4,9.7,23.8,21,10,8.2
Kentucky,19.7,12.4,22.9,17.4,15.3,11.3
Louisiana,15.8,9.6,19.9,18.2,12.7,9.6
Maine,10.8,6.3,12,10.1,7.3,5
Maryland,24.1,16.1,18.8,16.5,14.6,9.8
Massachusetts,23.9,14.1,16.2,12.4,10.6,7.7
Michigan,19.8,12.9,18.9,15.9,12,8.3
Minnesota,14.1,9.9,19.3,20.5,9.7,7.7
Mississippi,12.4,8.3,17.1,15.2,12.8,9.3
Missouri,13.1,9.3,22.8,19.5,12.2,10.1
Montana,9.6,6.2,19,15.1,8.2,5.5
Nebraska,12.3,8.6,25.3,22.4,8.5,7.6
Nevada,22.5,15.9,26,17.8,7.3,5.4
New Hampshire,16.4,9.1,10.4,9.4,7.9,6
New Jersey,34.4,21,20.6,19.3,13,9.2
New Mexico,16,12.1,17.5,15.9,5.5,4.5
New York,28.8,16.6,18,15.5,11.2,8.1
North Carolina,17.1,11,20.2,14.9,14.2,9.8
North Dakota,6.8,5.4,17,18.2,6.5,6.9
Ohio,23.6,14.3,22.8,20.8,15.6,11.8
Oklahoma,14.8,10.4,23.7,19.6,10.1,9.2
Oregon,18.1,11.1,16.9,11.9,7.8,5.4
Pennsylvania,27.6,16.6,21.2,17,14,10.1
Rhode Island,23.6,13.8,18.1,13.1,11,7.8
South Carolina,14.2,9.4,21.5,14.7,14.3,9.9
South Dakota,7.6,5.2,18.9,18.7,7.1,7.2
Tennessee,19.4,12.7,24.6,16.9,15.3,10.5
Texas,16.2,11.5,22.4,18.8,10.7,9.2
Utah,25.5,17,23.8,19.8,8.2,7.4
Vermont,14,8.3,11.3,9.4,6.8,5.7
Virginia,21,13.5,19,14.7,13.4,9.5
Washington,20.9,14.9,17.9,13.2,8.7,5.8
West Virginia,19.9,12.7,19.7,17.8,14.4,10.8
Wisconsin,15.9,10.6,18.5,18.8,10.6,9.1
Wyoming,12.3,7.6,18.3,15.4,6.6,4.8
